epoch,loss,lr,perplexity,sparse_categorical_accuracy,val_loss,val_perplexity,val_sparse_categorical_accuracy
0,2.897749662399292,0.001,19.051746368408203,0.3564448356628418,2.5540990829467773,10.98312759399414,0.36866295337677
1,2.3982906341552734,0.001,8.43679428100586,0.4002920985221863,2.2671892642974854,7.745107650756836,0.435079425573349
2,2.194488525390625,0.001,6.77709436416626,0.4514348804950714,2.121833086013794,6.511469841003418,0.48237597942352295
3,2.0411128997802734,0.001,5.72448205947876,0.4989803731441498,2.0412259101867676,5.918314456939697,0.5075065493583679
4,1.940147042274475,0.001,5.125617027282715,0.5293335914611816,2.000108242034912,5.619932174682617,0.5203437805175781
5,1.8674674034118652,0.001,4.727165699005127,0.5513514280319214,1.977724552154541,5.480784893035889,0.5256745219230652
6,1.8098232746124268,0.001,4.449483394622803,0.5691797137260437,1.9460285902023315,5.294475078582764,0.5316307544708252
7,1.7608428001403809,0.001,4.227562427520752,0.5851874947547913,1.9374383687973022,5.226243495941162,0.5335074067115784
8,1.7210021018981934,0.001,4.042616367340088,0.5987387895584106,1.92552649974823,5.154028415679932,0.5374782681465149
9,1.686694622039795,0.001,3.896876096725464,0.6087903380393982,1.9093958139419556,5.0532331466674805,0.5471605658531189
10,1.6578307151794434,0.001,3.783017873764038,0.6179232001304626,1.9078131914138794,5.042793273925781,0.5501794815063477
11,1.631962537765503,0.001,3.670889139175415,0.625,1.9046642780303955,5.0045695304870605,0.5500978827476501
12,1.609619140625,0.001,3.579658031463623,0.6314643621444702,1.9094363451004028,5.046548843383789,0.5527088642120361
13,1.5897272825241089,0.001,3.5065643787384033,0.6368889212608337,1.9076266288757324,5.021187782287598,0.5523552894592285
14,1.5715302228927612,0.001,3.435579776763916,0.6418524384498596,1.9091079235076904,5.050529479980469,0.5486564636230469
15,1.5555731058120728,0.001,3.3778491020202637,0.6470245718955994,1.904544472694397,5.016385555267334,0.5493907928466797
16,1.5408902168273926,0.001,3.3195555210113525,0.651153564453125,1.9031060934066772,5.007061004638672,0.5492275953292847
17,1.5245864391326904,0.001,3.2645883560180664,0.6554676294326782,1.913331151008606,5.064428329467773,0.5456374883651733
18,1.5136241912841797,0.001,3.2220749855041504,0.6585164070129395,1.920702338218689,5.110624313354492,0.5453927516937256
19,1.499133825302124,0.001,3.179004669189453,0.6623492240905762,1.9221259355545044,5.107481002807617,0.5493091940879822
20,1.487562894821167,0.001,3.134350538253784,0.6654821634292603,1.9313809871673584,5.162149429321289,0.5452295541763306
21,1.4613450765609741,0.0005,3.04742169380188,0.6741674542427063,1.9241160154342651,5.110713958740234,0.545991063117981
22,1.452019453048706,0.0005,3.0107662677764893,0.6775897741317749,1.9251881837844849,5.127645492553711,0.5458006858825684
23,1.445313811302185,0.0005,2.9971086978912354,0.6786497831344604,1.929058313369751,5.149316310882568,0.5465894341468811
24,1.4390262365341187,0.0005,2.9709346294403076,0.6810457110404968,1.9299770593643188,5.148714065551758,0.5481125116348267
25,1.425582766532898,0.00025,2.9245123863220215,0.6842257380485535,1.9311447143554688,5.148795127868652,0.5440056324005127
26,1.4208824634552002,0.00025,2.910139322280884,0.6870221495628357,1.9345037937164307,5.166062831878662,0.5452839136123657
